7.81799591002045e+000	3.18104906937394e+001
8.67280163599182e+000	7.14043993231810e+001
9.95501022494888e+000	9.57698815566836e+001
1.05961145194274e+001	2.89340101522843e+001
1.11400817995910e+001	2.74111675126904e+001
1.23057259713701e+001	2.62267343485618e+001
1.41707566462168e+001	1.72588832487310e+001
1.50644171779141e+001	2.01353637901861e+001
1.65603271983640e+001	1.91201353637902e+001
1.73568507157464e+001	1.70896785109983e+001
1.80173824130879e+001	7.27580372250423e+000
1.95132924335378e+001	1.20135363790186e+001
2.01155419222904e+001	7.78341793570220e+000
2.05429447852761e+001	1.08291032148900e+001
2.18834355828221e+001	6.09137055837564e+000
